Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
"Faculté de sciences humaines et sociales, Université Jean Monnet Saint-Etienne",Saint-Étienne,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de sciences et techniques, Université Jean Monnet de Saint-Etienne",Saint-Étienne,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des langues, Université Jean Moulin - Lyon 3",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des langues, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"FASSE - Faculté de sciences sociales et économiques, Institut catholique de Paris",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des langues, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de sciences économiques, Université Rennes 1",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de physique, Université Pierre et Marie Curie - UPMC",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de psychologie, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des affaires internationales de l'université du Havre, Université du Havre",Le Havre,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de psychologie, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de philosophie, Université Jean Moulin - Lyon 3",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"UFR des arts, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"UFR de sciences économiques et de gestion, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de sciences économiques et de gestion - Marseille, Université Aix-Marseille II",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"UFR sciences humaines, sociales et philosophie, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de philosophie et de sciences humaines, Université catholique de Lyon",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de philosophie, Institut catholique de Paris",Paris,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de philosophie, Institut catholique de Toulouse",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de pharmacie, Université Rennes 1",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de pharmacie, Université de Limoges",Limoges,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de pharmacie, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de pharmacie, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine, Université Rennes 1",Rennes,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de sciences de Luminy, Université Aix-Marseille II",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de pharmacie, Université Aix-Marseille II",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine, Université de Limoges",Limoges,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine Toulouse Purpan, Université Toulouse III",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine Toulouse Rangueil, Université Toulouse III",Toulouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de médecine, Université Aix-Marseille II",Marseille,Non trouvé,Non trouvé,Non trouvé,,
